novel,quote_id,gold_speaker,quote_text,candidates,explicit_mentions,previous_participants
APassageToIndia,Q910,_unknowable,Listen   Mohammed Latif says    Good morning' next.,"['Dr. Aziz', 'Mohammed Latif', 'Adela Quested', 'Mrs. Moore']","['Mohammed Latif', 'Adela Quested', 'Dr. Aziz', 'Mrs. Moore']","['Adela Quested', 'Dr. Aziz', 'Mrs. Moore']"
AnneOfGreenGables,Q944,Diana Barry,"It's a very fine evening, but oh, I have such news, Anne.
Guess. You can have three guesses.","['Matthew Cuthbert', 'Anne Shirley', 'Marilla Cuthbert']","['Anne Shirley', 'Anne Shirley', 'Anne Shirley']","['Matthew Cuthbert', 'Marilla Cuthbert', 'Anne Shirley']"
TheAgeOfInnocence,Q1228,Mrs. Adeline Archer,"It will never do, my dear Louisa, to let people like Mrs. Lemuel
Struthers think they can step into Regina's shoes.  It is just at such
times that new people push in and get a footing.  It was owing to the
epidemic of chicken-pox in New York the winter Mrs. Struthers first
appeared that the married men slipped away to her house while their
wives were in the nursery.  You and dear Henry, Louisa, must stand in
the breach as you always have.","['Mrs. Beaufort', 'Mrs. Van Der Luyden', 'Mr. Van Der Luyden', 'Newland Archer', 'Mrs. Lemuel Struthers', 'Mr. Sillerton Jackson', 'Miss Welland']","['Mrs. Van Der Luyden', 'Mrs. Lemuel Struthers', 'Mrs. Beaufort', 'Mrs. Van Der Luyden', 'Mrs. Van Der Luyden', 'Mr. Van Der Luyden', 'Mrs. Van Der Luyden', 'Mrs. Van Der Luyden', 'Mr. Van Der Luyden', 'Mrs. Van Der Luyden']","['Mr. Sillerton Jackson', 'Newland Archer', 'Miss Welland']"
TheMysteriousAffairAtStyles,Q207,Alfred Inglethorp,My God! This is terrible! My poor wife! I have only just heard.,"['Mr. Lawrence Cavendish', 'John Cavendish', 'Mrs. Inglethorp', 'Mr. Hastings']","['Mrs. Inglethorp', 'Mr. Hastings']","['Mr. Lawrence Cavendish', 'John Cavendish', 'Mr. Hastings']"
Persuasion,Q296,Mrs Smith,"By all means, only tell me all about it, when you do come.
Who is your party?","['Captain Wentworth', 'Anne Elliot', 'Lady Russell']","['Anne Elliot', 'Anne Elliot', 'Anne Elliot']","['Captain Wentworth', 'Anne Elliot', 'Lady Russell']"
TheSportOfTheGods,Q518,Sadness,"Oh, let him alone, Skaggsy, he don't know what he 's saying.","['Joe Hamilton', 'Mr. Skaggs']","['Joe Hamilton', 'Mr. Skaggs', 'Joe Hamilton', 'Joe Hamilton', 'Mr. Skaggs', 'Joe Hamilton']","['Joe Hamilton', 'Mr. Skaggs']"
ThePictureOfDorianGray,Q485,Dorian Gray,"My dear Harry, my dear Basil, you must both congratulate me! I have never been so
happy. Of course, it is sudden all really delightful things are. And
yet it seems to me to be the one thing I have been looking for all my
life.","['Basil Hallward', 'Henry', 'Lord Henry']","['Henry', 'Basil Hallward', 'Basil Hallward', 'Basil Hallward', 'Lord Henry', 'Basil Hallward', 'Lord Henry']","['Basil Hallward', 'Lord Henry']"
WinnieThePooh,Q777,Winnie-the-pooh,"Here I am,","['Owl', 'Christopher Robin - Story']","['Christopher Robin - Story', 'Owl']","['Owl', 'Christopher Robin - Story']"
HardTimes,Q1542,Thomas Gradgrind,How was this done?,"['_group', 'Young Thomas', 'Mr. Sleary', 'Louisa Bounderby', 'Cecilia Jupe']","['Louisa Bounderby', 'Young Thomas', 'Cecilia Jupe']","['_group', 'Mr. Sleary']"
WhereAngelsFearToTread,Q892,Perfetta,"I will be as quick as I can, But there are many streets
in Monteriano; he is sometimes difficult to find. I could not find him
this morning.","['Caroline Abbott', 'Harriet', 'Mr. Herriton', 'Signor Carella']","['Signor Carella', 'Signor Carella', 'Mr. Herriton']","['Caroline Abbott', 'Mr. Herriton', 'Harriet']"
Persuasion,Q134,Charles Hayter,"Walter, why do you not do as you are bid?  Do
not you hear your aunt speak?  Come to me, Walter, come to cousin
Charles.","['Charles', 'Walter', 'Anne Elliot', 'Captain Wentworth']","['Walter', 'Walter', 'Walter', 'Walter', 'Anne Elliot', 'Walter', 'Captain Wentworth', 'Anne Elliot', 'Walter', 'Charles']","['Captain Wentworth', 'Anne Elliot']"
TheMysteriousAffairAtStyles,Q367,Mr. Hastings,"How did you know that Mrs. Inglethorp took sleeping powders? And about the lost key
and the duplicate?","['Dorcas', 'Hercule Poirot', 'Mrs. Inglethorp']","['Mrs. Inglethorp', 'Hercule Poirot']","['Dorcas', 'Hercule Poirot']"
HowardsEnd,Q357,Margaret,"Oh, hush! Frieda ll hear you, and she can be so
tiresome.","['Fraulein Mosebach', 'Aunt Juley', 'Helen']","['Fraulein Mosebach', 'Aunt Juley', 'Fraulein Mosebach', 'Aunt Juley']","['Fraulein Mosebach', 'Aunt Juley', 'Helen']"
AlicesAdventuresInWonderland,Q404,The Cat,"I'd rather not,","['Alice', 'The King Of Hearts']","['The King Of Hearts', 'Alice']","['Alice', 'The King Of Hearts']"
TheAgeOfInnocence,Q1293,Miss Welland,But you like Ellen--I thought you'd be pleased.,"['Mr. Letterblair', 'Mrs. Manson Mingott', 'Newland Archer', 'Ellen Olenska']","['Newland Archer', 'Ellen Olenska', 'Newland Archer', 'Newland Archer']","['Mr. Letterblair', 'Mrs. Manson Mingott', 'Newland Archer']"
TheInvisibleMan,Q151,Mr. Hall,Excuse me,"['Mrs. Hall', 'Mr. Sandy Wadgers', 'Huxter', 'The Invisible Man']","['The Invisible Man', 'Mrs. Hall', 'Huxter', 'Mr. Sandy Wadgers']","['Mr. Sandy Wadgers', 'The Invisible Man']"
APassageToIndia,Q607,Miss Derek,"Mr. Heaslop, Miss Quested, what are you holding up an innocent
female for?","['Mr. Harris', 'The Nawab Badahur', 'Adela Quested', 'Ronny Heaslop']","['Ronny Heaslop', 'Adela Quested', 'Ronny Heaslop', 'Adela Quested', 'Ronny Heaslop', 'Adela Quested', 'The Nawab Badahur', 'Mr. Harris']","['The Nawab Badahur', 'Ronny Heaslop']"
TheAgeOfInnocence,Q51,Julius Beaufort,"Thanks.  I wish it might happen oftener, I'm generally so tied down; but I met the Countess
Ellen in Madison Square, and she was good enough to let me walk home
with her.","['Miss Welland', 'Mrs. Manson Mingott', 'Newland Archer', 'Ellen Olenska']","['Ellen Olenska', 'Ellen Olenska', 'Ellen Olenska', 'Miss Welland', 'Newland Archer', 'Mrs. Manson Mingott']","['Mrs. Manson Mingott', 'Newland Archer']"
MansfieldPark,Q28,_unknowable,"Fanny
was good-natured enough","['Mrs. Norris', 'Fanny Price', 'Edmund', 'Julia Bertram', 'Maria Bertram']","['Fanny Price', 'Maria Bertram', 'Julia Bertram', 'Edmund', 'Mrs. Norris']","['Edmund', 'Fanny Price']"
TheAgeOfInnocence,Q421,Ellen Olenska,"Ah, you've come!","['Ned Winsett', 'Newland Archer', 'The Butler']","['Newland Archer', 'Newland Archer']","['Ned Winsett', 'Newland Archer', 'The Butler']"
TheSportOfTheGods,Q235,Kitty Hamilton,"I wonder what pa would think of it if he was here,","['Joe Hamilton', 'Berry Hamilton', 'Fannie Hamilton']","['Berry Hamilton', 'Berry Hamilton', 'Joe Hamilton', 'Fannie Hamilton']","['Joe Hamilton', 'Fannie Hamilton']"
TheManWhoWasThursday,Q438,The Second Gentleman,"But how can the Marquis have insulted your aunt just now? He has been sitting here
all the time.","['Inspector Ratcliffe', 'Colonel Ducroix', 'Gabriel Syme']","['Inspector Ratcliffe', 'Gabriel Syme', 'Inspector Ratcliffe', 'Colonel Ducroix', 'Inspector Ratcliffe', 'Gabriel Syme']","['Gabriel Syme', 'Colonel Ducroix']"
SenseAndSensibility,Q557,Mr. Palmer,"I thought you were both in Devonshire,","['Elinor', 'Marianne']","['Marianne', 'Elinor', 'Marianne', 'Elinor']","['Elinor', 'Marianne']"
WinnieThePooh,Q852,Baby Roo,H--hup!,"['Kanga', 'Rabbit', 'Eeyore', 'Christopher Robin - Story', 'Piglet', 'Winnie-the-pooh', 'Owl']","['Winnie-the-pooh', 'Rabbit', 'Eeyore', 'Owl', 'Christopher Robin - Story', 'Piglet', 'Kanga']","['Winnie-the-pooh', 'Piglet']"
MansfieldPark,Q347,Julia Bertram,"Heyday!
Where are the others? I thought Maria and Mr. Crawford were with you.","['Henry Crawford', 'Maria Bertram', 'Fanny Price']","['Maria Bertram', 'Henry Crawford', 'Fanny Price', 'Fanny Price']","['Henry Crawford', 'Maria Bertram', 'Fanny Price']"
HowardsEnd,Q1497,Henry,Good! I did the breaking of the ice.,"['Aunt Juley', 'Helen', 'Margaret']","['Aunt Juley', 'Margaret']","['Aunt Juley', 'Helen', 'Margaret']"
MansfieldPark,Q83,_unknowable,"because, she
might ride one of her cousin's horses at any time when they did not
want them,","['Mrs. Norris', 'Fanny Price', 'Edmund', 'Sir Thomas', 'Lady Bertram', 'Tom Bertram', 'Julia Bertram', 'Maria Bertram']","['Fanny Price', 'Tom Bertram', 'Maria Bertram', 'Julia Bertram', 'Edmund', 'Tom Bertram', 'Maria Bertram', 'Julia Bertram', 'Edmund']","['Sir Thomas', 'Lady Bertram', 'Mrs. Norris']"
APassageToIndia,Q1216,_unknowable,"Don't worry, Mrs. Blakiston, those drums are only Mohurram,","['_group', 'Mrs. Callendar', 'A Stray Subaltern', 'Cyril Fielding', 'Mrs. Blakiston', 'Mr. Turton', 'Professor Godbole', 'Dr. Aziz', 'Miss Derek', 'Mrs. Turton', 'Mrs. Lesley']","['Mrs. Blakiston', 'Cyril Fielding', 'Mrs. Turton', 'Mrs. Lesley', 'Mrs. Callendar', 'Mr. Turton', 'Mrs. Lesley', 'A Stray Subaltern', 'Miss Derek', 'Mrs. Blakiston']","['_group', 'Professor Godbole', 'Dr. Aziz', 'Miss Derek', 'Mrs. Turton']"
TheAgeOfInnocence,Q1276,Mrs. Adeline Archer,"Henry van der Luyden--Louisa--the Lovell Mingotts--the Reggie
Chiverses--Lawrence Lefferts and Gertrude--(yes, I suppose May was
right to have them)--the Selfridge Merrys, Sillerton Jackson, Van
Newland and his wife. (How time passes!  It seems only yesterday that
he was your best man, Newland)--and Countess Olenska--yes, I think
that's all....","['Mrs. Lovell Mingott', 'Mrs. Augusta Welland', 'Mrs. Van Der Luyden', 'Mr. Van Der Luyden', 'Mr. Merry', 'Newland Archer', 'Mrs. Merry', 'Gertrude Lefferts', 'Mr. Sillerton Jackson', 'Young Mrs Newland', 'Reggie Chivers', 'Ellen Olenska', 'Lawrence Lefferts', 'May Wellend', 'Miss Welland']","['Mr. Van Der Luyden', 'Mrs. Van Der Luyden', 'Mrs. Lovell Mingott', 'Reggie Chivers', 'Lawrence Lefferts', 'Gertrude Lefferts', 'May Wellend', 'Lawrence Lefferts', 'Mrs. Merry', 'Mr. Merry', 'Mr. Sillerton Jackson', 'Young Mrs Newland', 'Newland Archer', 'Newland Archer', 'Ellen Olenska', 'Newland Archer', 'Mrs. Augusta Welland']","['Newland Archer', 'Miss Welland']"
SenseAndSensibility,Q750,John Dashwood,"Poor Marianne! She has not such good health
as her sister, she is very nervous, she has not Elinor s
constitution; and one must allow that there is something very trying to
a young woman who _has been_ a beauty in the loss of her personal
attractions. You would not think it perhaps, but Marianne _was_
remarkably handsome a few months ago; quite as handsome as Elinor. Now
you see it is all gone.","['Elinor', 'Colonel Brandon', 'Mrs. Ferrars', 'Mrs. Jennings', 'Marianne']","['Marianne', 'Marianne', 'Marianne', 'Marianne', 'Elinor', 'Marianne', 'Colonel Brandon', 'Marianne', 'Elinor', 'Colonel Brandon', 'Colonel Brandon']","['Mrs. Jennings', 'Marianne', 'Mrs. Ferrars']"
WhereAngelsFearToTread,Q6,Irma,"I ll do
my best.","['Lilia', 'Mrs. Theobald', 'Mrs. Herriton', 'Mr. Herriton', 'Harriet']","['Mrs. Theobald', 'Lilia', 'Harriet', 'Mr. Herriton', 'Mrs. Herriton']","['Lilia', 'Mr. Herriton']"
OliverTwist,Q1036,Martha,"Did she say any more, Anny dear, while I was gone?","['Mrs. Thingummy', 'Anny', ""The Parish Apothecary's Apprentice"", 'Mrs. Corney']","['Mrs. Thingummy', 'Anny', 'Anny']","[""The Parish Apothecary's Apprentice"", 'Mrs. Corney']"
NorthangerAbbey,Q612,Henry Tilney,"My brother does know it,","['Frederick Tilney', 'Catherine Morland', 'Isabella Thorpe', 'Frederick Tilney ']","['Frederick Tilney ', 'Catherine Morland']","['Frederick Tilney', 'Isabella Thorpe']"
HowardsEnd,Q124,Mrs. Wilcox,"Charles, dear, Charles, dear Charles,
one doesn t ask plain questions. There aren t such things.","['Charles Wilcox', 'Aunt Juley', 'Paul', 'Helen']","['Charles Wilcox', 'Charles Wilcox', 'Charles Wilcox', 'Charles Wilcox', 'Aunt Juley', 'Paul', 'Charles Wilcox', 'Helen']","['Charles Wilcox', 'Aunt Juley', 'Paul']"
HardTimes,Q501,Young Thomas,"Are you there, Loo?","['Louisa Bounderby', 'Thomas Gradgrind']","['Louisa Bounderby', 'Louisa Bounderby', 'Louisa Bounderby']","['Louisa Bounderby', 'Thomas Gradgrind']"
OliverTwist,Q536,Mr. Brownlow,"There are a good many books, are there not, my boy?","['Oliver Twist', 'Mrs. Bedwin']",['Oliver Twist'],"['Oliver Twist', 'Mrs. Bedwin']"
AHandfulOfDust,Q1156,Jock Grant-Menzies,Not a thing.,"['Marjorie', 'Tony Last', 'Brenda']",['Marjorie'],"['Marjorie', 'Tony Last', 'Brenda']"
SenseAndSensibility,Q582,Mrs. Jennings,"Upon my word, I never saw a young woman so desperately in love in my
life! _My_ girls were nothing to her, and yet they used to be foolish
enough; but as for Miss Marianne, she is quite an altered creature. I
hope, from the bottom of my heart, he won t keep her waiting much
longer, for it is quite grievous to see her look so ill and forlorn.
Pray, when are they to be married?","['Elinor', 'Lady Middleton', 'Mr. Willoughby', 'Charlotte', 'Marianne']","['Charlotte', 'Lady Middleton', 'Marianne', 'Charlotte', 'Lady Middleton', 'Marianne', 'Marianne', 'Marianne', 'Mr. Willoughby', 'Marianne', 'Marianne', 'Marianne', 'Mr. Willoughby', 'Elinor']","['Elinor', 'Marianne', 'Mr. Willoughby']"
WinnieThePooh,Q667,Christopher Robin - Story,"It's just the place, for an Ambush.","['_group', 'Kanga', 'Rabbit', 'Baby Roo', 'Eeyore', 'Piglet', 'Winnie-the-pooh', 'Owl']","['Winnie-the-pooh', 'Rabbit', 'Baby Roo', 'Eeyore', 'Owl', 'Piglet', 'Kanga']","['_group', 'Kanga', 'Baby Roo', 'Eeyore', 'Owl']"
TheManWhoWasThursday,Q499,Dr. Bull,"Do ordinary tourists, wear black masks half-way down the face?","['Inspector Ratcliffe', 'Colonel Ducroix', 'Professor De Worms', 'Gabriel Syme']","['Professor De Worms', 'Colonel Ducroix', 'Inspector Ratcliffe', 'Gabriel Syme']","['Inspector Ratcliffe', 'Professor De Worms', 'Gabriel Syme']"
OliverTwist,Q500,Nance,"That it won't do; so it's no use a-trying it on, Fagin,","['Bill Sikes', 'Charley Bates', 'The Artful Dodger', 'Fagin', 'Betsy']","['Fagin', 'Charley Bates', 'Bill Sikes', 'Betsy', 'The Artful Dodger', 'Fagin']","['Bill Sikes', 'Fagin', 'Betsy']"
TheManWhoWasThursday,Q583,Dr. Bull,What do you mean?,"['Inspector Ratcliffe', 'Colonel Ducroix', 'Professor De Worms', 'Gabriel Syme']","['Inspector Ratcliffe', 'Professor De Worms', 'Colonel Ducroix', 'Inspector Ratcliffe', 'Gabriel Syme']","['Inspector Ratcliffe', 'Colonel Ducroix', 'Gabriel Syme']"
