quote_id,quote_type,baseline_prediction,EXP019_prediction,gold,recovered,regressed
AlicesAdventuresInWonderland_128,Explicit,The White Rabbit,The White Rabbit,The Caterpillar,0,0
AlicesAdventuresInWonderland_129,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_13,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_130,Explicit,The Caterpillar,The Caterpillar,The Caterpillar,0,0
AlicesAdventuresInWonderland_131,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_132,Explicit,The Caterpillar,The Caterpillar,The Caterpillar,0,0
AlicesAdventuresInWonderland_133,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_134,Explicit,The Caterpillar,The Caterpillar,The Caterpillar,0,0
AlicesAdventuresInWonderland_135,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_136,Explicit,The Caterpillar,The Caterpillar,The Caterpillar,0,0
AlicesAdventuresInWonderland_137,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_138,Explicit,The Caterpillar,The Caterpillar,The Caterpillar,0,0
AlicesAdventuresInWonderland_139,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_14,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_140,Explicit,The Caterpillar,The Caterpillar,The Caterpillar,0,0
AlicesAdventuresInWonderland_141,Explicit,The Caterpillar,The Caterpillar,The Caterpillar,0,0
AlicesAdventuresInWonderland_142,Explicit,The Caterpillar,The Caterpillar,The Caterpillar,0,0
AlicesAdventuresInWonderland_143,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_144,Explicit,The Caterpillar,The Caterpillar,The Caterpillar,0,0
AlicesAdventuresInWonderland_145,Anaphoric,The Caterpillar,The Caterpillar,The Caterpillar,0,0
AlicesAdventuresInWonderland_146,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_147,Explicit,The Caterpillar,The Caterpillar,The Caterpillar,0,0
AlicesAdventuresInWonderland_148,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_149,Explicit,The Caterpillar,The Caterpillar,The Caterpillar,0,0
AlicesAdventuresInWonderland_15,Anaphoric,The White Rabbit,The White Rabbit,Alice,0,0
AlicesAdventuresInWonderland_150,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_151,Explicit,The Caterpillar,The Caterpillar,The Caterpillar,0,0
AlicesAdventuresInWonderland_152,Anaphoric,The Caterpillar,The Caterpillar,The Caterpillar,0,0
AlicesAdventuresInWonderland_153,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_154,Explicit,The Caterpillar,The Caterpillar,The Caterpillar,0,0
AlicesAdventuresInWonderland_155,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_156,Explicit,The Caterpillar,The Caterpillar,The Caterpillar,0,0
AlicesAdventuresInWonderland_157,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_158,Explicit,The Caterpillar,The Caterpillar,Alice,0,0
AlicesAdventuresInWonderland_159,Explicit,The Caterpillar,The Caterpillar,The Caterpillar,0,0
AlicesAdventuresInWonderland_16,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_160,Anaphoric,The Caterpillar,The Caterpillar,The Caterpillar,0,0
AlicesAdventuresInWonderland_161,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_162,Explicit,The Caterpillar,The Caterpillar,The Caterpillar,0,0
AlicesAdventuresInWonderland_163,Anaphoric,The Caterpillar,The Caterpillar,Alice,0,0
AlicesAdventuresInWonderland_164,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_165,Explicit,The Caterpillar,The Caterpillar,The Pigeon,0,0
AlicesAdventuresInWonderland_166,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_167,Explicit,The Pigeon,The Pigeon,The Pigeon,0,0
AlicesAdventuresInWonderland_168,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_169,Explicit,The Pigeon,The Pigeon,The Pigeon,0,0
AlicesAdventuresInWonderland_17,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_170,Explicit,The Pigeon,The Pigeon,The Pigeon,0,0
AlicesAdventuresInWonderland_171,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_172,Explicit,The Pigeon,The Pigeon,The Pigeon,0,0
AlicesAdventuresInWonderland_173,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_174,Explicit,The Pigeon,The Pigeon,The Pigeon,0,0
AlicesAdventuresInWonderland_175,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_176,Explicit,The Pigeon,The Pigeon,The Pigeon,0,0
AlicesAdventuresInWonderland_177,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_178,Explicit,The Pigeon,The Pigeon,The Pigeon,0,0
AlicesAdventuresInWonderland_179,Explicit,The Pigeon,The Pigeon,The Pigeon,0,0
AlicesAdventuresInWonderland_18,Anaphoric,The White Rabbit,The White Rabbit,Alice,0,0
AlicesAdventuresInWonderland_180,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_181,Explicit,The Pigeon,The Pigeon,The Pigeon,0,0
AlicesAdventuresInWonderland_182,Anaphoric,The Pigeon,The Pigeon,Alice,0,0
AlicesAdventuresInWonderland_183,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_184,Anaphoric,Alice,Alice,The Fish-Footman,0,0
AlicesAdventuresInWonderland_185,Explicit,Alice,Alice,The Frog-Footman,0,0
AlicesAdventuresInWonderland_186,Explicit,The Pigeon,Alice,The Frog-Footman,0,0
AlicesAdventuresInWonderland_187,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_188,Explicit,The Pigeon,The Pigeon,The Frog-Footman,0,0
AlicesAdventuresInWonderland_189,Anaphoric,The Pigeon,The Pigeon,Alice,0,0
AlicesAdventuresInWonderland_19,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_190,Anaphoric,The Pigeon,The Pigeon,Alice,0,0
AlicesAdventuresInWonderland_191,Explicit,The Pigeon,The Pigeon,The Frog-Footman,0,0
AlicesAdventuresInWonderland_192,Explicit,The Pigeon,The Pigeon,The Frog-Footman,0,0
AlicesAdventuresInWonderland_193,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_194,Explicit,The Pigeon,The Pigeon,The Frog-Footman,0,0
AlicesAdventuresInWonderland_195,Anaphoric,The Pigeon,The Pigeon,Alice,0,0
AlicesAdventuresInWonderland_196,Anaphoric,The Pigeon,The Pigeon,The Frog-Footman,0,0
AlicesAdventuresInWonderland_197,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_198,Explicit,The Fish-Footman,The Fish-Footman,The Frog-Footman,0,0
AlicesAdventuresInWonderland_199,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_2,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_20,Anaphoric,Alice,Alice,The White Rabbit,0,0
AlicesAdventuresInWonderland_200,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_201,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_202,Explicit,The Frog-Footman,The Frog-Footman,The Duchess,0,0
AlicesAdventuresInWonderland_203,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_204,Explicit,The Duchess,The Duchess,The Duchess,0,0
AlicesAdventuresInWonderland_205,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_206,Explicit,The Duchess,The Duchess,The Duchess,0,0
AlicesAdventuresInWonderland_207,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_208,Explicit,The Duchess,The Duchess,The Duchess,0,0
AlicesAdventuresInWonderland_209,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_21,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_210,Explicit,The Duchess,The Duchess,The Duchess,0,0
AlicesAdventuresInWonderland_211,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_212,Explicit,The Duchess,The Duchess,The Duchess,0,0
AlicesAdventuresInWonderland_213,Anaphoric,The Duchess,The Duchess,The Duchess,0,0
AlicesAdventuresInWonderland_214,Explicit,The Duchess,The Duchess,The Duchess,0,0
AlicesAdventuresInWonderland_215,Explicit,The Duchess,The Duchess,The Duchess,0,0
AlicesAdventuresInWonderland_216,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_217,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_218,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_219,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_22,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_220,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_221,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_222,Anaphoric,The Duchess,The Duchess,Alice,0,0
AlicesAdventuresInWonderland_223,Anaphoric,The Duchess,The Duchess,Alice,0,0
AlicesAdventuresInWonderland_224,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_225,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_226,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_227,Explicit,The Duchess,The Duchess,The Cat,0,0
AlicesAdventuresInWonderland_228,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_229,Explicit,The Cat,The Cat,The Cat,0,0
AlicesAdventuresInWonderland_23,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_230,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_231,Explicit,The Cat,The Cat,The Cat,0,0
AlicesAdventuresInWonderland_232,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_233,Explicit,The Cat,The Cat,The Cat,0,0
AlicesAdventuresInWonderland_234,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_235,Explicit,The Cat,The Cat,The Cat,0,0
AlicesAdventuresInWonderland_236,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_237,Explicit,The Cat,The Cat,The Cat,0,0
AlicesAdventuresInWonderland_238,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_239,Explicit,The Cat,The Cat,The Cat,0,0
AlicesAdventuresInWonderland_24,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_240,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_241,Explicit,The Cat,The Cat,The Cat,0,0
AlicesAdventuresInWonderland_242,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_243,Explicit,The Cat,The Cat,The Cat,0,0
AlicesAdventuresInWonderland_244,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_245,Explicit,The Cat,The Cat,The Cat,0,0
AlicesAdventuresInWonderland_246,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_247,Explicit,The Cat,The Cat,The Cat,0,0
AlicesAdventuresInWonderland_248,Anaphoric,The Cat,The Cat,Alice,0,0
AlicesAdventuresInWonderland_249,Explicit,The Cat,The Cat,The Cat,0,0
AlicesAdventuresInWonderland_25,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_250,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_251,Explicit,The Cat,The Cat,The Cat,0,0
AlicesAdventuresInWonderland_252,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_253,Anaphoric,The Cat,The Cat,Alice,0,0
AlicesAdventuresInWonderland_254,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_255,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_256,Explicit,The Cat,The Cat,Hare,0,0
AlicesAdventuresInWonderland_257,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_258,Explicit,Hare,Hare,Hare,0,0
AlicesAdventuresInWonderland_259,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_26,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_260,Explicit,Hare,Hare,Hare,0,0
AlicesAdventuresInWonderland_261,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_262,Explicit,The Cat,The Cat,The Hatter,0,0
AlicesAdventuresInWonderland_263,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_264,Anaphoric,The Cat,The Cat,The Hatter,0,0
AlicesAdventuresInWonderland_265,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_266,Anaphoric,The Cat,Alice,Alice,1,0
AlicesAdventuresInWonderland_267,Explicit,Hare,Hare,Hare,0,0
AlicesAdventuresInWonderland_268,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_269,Explicit,Hare,Hare,Hare,0,0
AlicesAdventuresInWonderland_27,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_270,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_271,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_272,Explicit,Hare,Hare,Hare,0,0
AlicesAdventuresInWonderland_273,Explicit,The Hatter,The Hatter,The Dormouse,0,0
AlicesAdventuresInWonderland_274,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_275,Anaphoric,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_276,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_277,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_278,Explicit,Hare,Hare,Hare,0,0
AlicesAdventuresInWonderland_279,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_28,Anaphoric,The White Rabbit,The White Rabbit,Alice,0,0
AlicesAdventuresInWonderland_280,Anaphoric,Hare,Hare,Hare,0,0
AlicesAdventuresInWonderland_281,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_282,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_283,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_284,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_285,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_286,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_287,Explicit,The Dormouse,The Dormouse,The Dormouse,0,0
AlicesAdventuresInWonderland_288,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_289,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_29,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_290,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_291,Explicit,Hare,Hare,Hare,0,0
AlicesAdventuresInWonderland_292,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_293,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_294,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_295,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_296,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_297,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_298,Explicit,Alice,Alice,Hare,0,0
AlicesAdventuresInWonderland_299,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_3,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_30,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_300,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_301,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_302,Anaphoric,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_303,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_304,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_305,Explicit,Alice,Alice,The Dormouse,0,0
AlicesAdventuresInWonderland_306,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_307,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_308,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_309,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_31,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_310,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_311,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_312,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_313,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_314,Explicit,Hare,Hare,Hare,0,0
AlicesAdventuresInWonderland_315,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_316,Anaphoric,The Dormouse,The Dormouse,The Dormouse,0,0
AlicesAdventuresInWonderland_317,Explicit,Hare,Hare,Hare,0,0
AlicesAdventuresInWonderland_318,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_319,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_32,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_320,Explicit,The Dormouse,The Dormouse,The Dormouse,0,0
AlicesAdventuresInWonderland_321,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_322,Explicit,The Dormouse,The Dormouse,The Dormouse,0,0
AlicesAdventuresInWonderland_323,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_324,Explicit,The Dormouse,The Dormouse,The Dormouse,0,0
AlicesAdventuresInWonderland_325,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_326,Explicit,Hare,Hare,Hare,0,0
AlicesAdventuresInWonderland_327,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_328,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_329,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_33,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_330,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_331,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_332,Explicit,The Dormouse,The Dormouse,The Dormouse,0,0
AlicesAdventuresInWonderland_333,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_334,Explicit,The Dormouse,The Dormouse,The Dormouse,0,0
AlicesAdventuresInWonderland_335,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_336,Explicit,The Dormouse,The Dormouse,The Dormouse,0,0
AlicesAdventuresInWonderland_337,Explicit,The Dormouse,The Dormouse,The Dormouse,0,0
AlicesAdventuresInWonderland_338,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_339,Explicit,The Dormouse,The Dormouse,The Dormouse,0,0
AlicesAdventuresInWonderland_34,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_340,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_341,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_342,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_343,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_344,Explicit,The Dormouse,The Dormouse,The Dormouse,0,0
AlicesAdventuresInWonderland_345,Explicit,The Dormouse,The Dormouse,The Dormouse,0,0
AlicesAdventuresInWonderland_346,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_347,Explicit,The Dormouse,The Dormouse,Hare,0,0
AlicesAdventuresInWonderland_348,Anaphoric,The Dormouse,The Dormouse,The Dormouse,0,0
AlicesAdventuresInWonderland_349,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_35,Explicit,The White Rabbit,The White Rabbit,The Mouse,0,0
AlicesAdventuresInWonderland_350,Explicit,The Hatter,The Hatter,The Hatter,0,0
AlicesAdventuresInWonderland_351,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_352,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_353,Anaphoric,The Hatter,The Hatter,Alice,0,0
AlicesAdventuresInWonderland_354,Anaphoric,Alice,Alice,Two,0,0
AlicesAdventuresInWonderland_355,Explicit,The Hatter,The Hatter,Five,0,0
AlicesAdventuresInWonderland_356,Explicit,Alice,Alice,Seven,0,0
AlicesAdventuresInWonderland_357,Explicit,Five,Five,Five,0,0
AlicesAdventuresInWonderland_358,Anaphoric,Alice,Alice,Two,0,0
AlicesAdventuresInWonderland_359,Explicit,Seven,Seven,Seven,0,0
AlicesAdventuresInWonderland_36,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_360,Explicit,Five,Five,Five,0,0
AlicesAdventuresInWonderland_361,Explicit,Seven,Seven,Seven,0,0
AlicesAdventuresInWonderland_362,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_363,Explicit,Two,Two,Two,0,0
AlicesAdventuresInWonderland_364,Explicit,Five,Five,Five,0,0
AlicesAdventuresInWonderland_365,Anaphoric,Five,Five,Alice,0,0
AlicesAdventuresInWonderland_366,Explicit,Alice,Alice,The Queen,0,0
AlicesAdventuresInWonderland_367,Explicit,The Queen,The Queen,The Queen,0,0
AlicesAdventuresInWonderland_368,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_369,Anaphoric,The Queen,The Queen,Alice,0,0
AlicesAdventuresInWonderland_37,Explicit,The Mouse,The Mouse,The Mouse,0,0
AlicesAdventuresInWonderland_370,Explicit,Alice,Alice,The Queen,0,0
AlicesAdventuresInWonderland_371,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_372,Explicit,The Queen,The Queen,The Queen,0,0
AlicesAdventuresInWonderland_373,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_374,Explicit,Alice,Alice,The King Of Hearts,0,0
AlicesAdventuresInWonderland_375,Explicit,The Queen,The Queen,The Queen,0,0
AlicesAdventuresInWonderland_376,Explicit,The Queen,The Queen,The Queen,0,0
AlicesAdventuresInWonderland_377,Explicit,The Queen,The Queen,The Queen,0,0
AlicesAdventuresInWonderland_378,Explicit,Two,Two,Two,0,0
AlicesAdventuresInWonderland_379,Explicit,The Queen,The Queen,The Queen,0,0
AlicesAdventuresInWonderland_38,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_380,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_381,Explicit,The Queen,The Queen,The Queen,0,0
AlicesAdventuresInWonderland_382,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_383,Explicit,The Queen,The Queen,The Queen,0,0
AlicesAdventuresInWonderland_384,Anaphoric,The Queen,The Queen,The White Rabbit,0,0
AlicesAdventuresInWonderland_385,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_386,Explicit,The Queen,The Queen,The White Rabbit,0,0
AlicesAdventuresInWonderland_387,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_388,Explicit,The Queen,The Queen,The White Rabbit,0,0
AlicesAdventuresInWonderland_389,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_39,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_390,Explicit,The Queen,The Queen,The White Rabbit,0,0
AlicesAdventuresInWonderland_391,Explicit,The Queen,The Queen,The Queen,0,0
AlicesAdventuresInWonderland_392,Explicit,The Queen,The Queen,The Queen,0,0
AlicesAdventuresInWonderland_393,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_394,Anaphoric,The Queen,The Queen,Alice,0,0
AlicesAdventuresInWonderland_395,Explicit,Alice,Alice,The Cat,0,0
AlicesAdventuresInWonderland_396,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_397,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_398,Explicit,The Cat,The Cat,The Cat,0,0
AlicesAdventuresInWonderland_399,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_4,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_40,Anaphoric,Alice,Alice,Alice,0,0
